student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
9738,Gina Vincent,Female,21,Math,42.01,2025-05-15,Richardberg,Year 4,Braun-Gonzalez
2253,Jennifer Duke,Female,19,Math,59.08,2025-05-16,Johnsonfort,Year 2,Webb Inc
8594,Adam Lloyd,Male,20,Science,57.41,2025-01-29,Kochmouth,Year 2,Washington-Olsen
4550,Jennifer Davis,Female,23,Math,45.87,2025-09-10,Randallville,Year 2,Hawkins Ltd
3440,Krystal Pierce,Male,20,English,45.26,2025-09-26,Robertstown,Year 3,Thompson-Stein
6495,Brandi Hudson,Male,25,Science,93.5,2025-04-17,South Alex,Year 2,Mcintyre-Chandler
4837,Aaron Ballard,Female,24,English,64.75,2024-11-27,South Amyside,Year 3,"Stewart, Walker and Browning"
9774,Janice Ramirez,Female,22,History,62.55,2025-08-20,Normanshire,Year 3,Olson-Jones
1219,Megan Ochoa,Female,21,English,96.02,2025-01-25,South Victoriahaven,Year 1,"Sheppard, Ramos and Munoz"
3357,Nicole Ross,Male,24,Science,79.62,2025-08-31,North Katherine,Year 4,"Rodriguez, Stevens and Higgins"
5589,Kathy Martin,Female,22,Science,96.68,2025-04-24,East Donaldside,Year 2,"Pena, Brown and Snyder"
3064,Tiffany Holt,Male,19,History,98.37,2025-10-16,North Sandraton,Year 2,Parrish PLC
3310,Kenneth Burton,Female,19,Computer,95.33,2025-02-20,Port Tammyside,Year 1,Snyder-Murphy
2102,Melissa Wilson,Male,20,English,58.67,2024-12-08,East Amanda,Year 3,Phillips Inc
9750,Michael Reynolds,Female,18,Science,91.22,2025-06-30,Jeffchester,Year 2,"Lane, Castillo and Villa"
8821,Kyle Hall,Female,24,Science,97.45,2025-08-25,South Annchester,Year 4,"Solis, Jimenez and Gonzalez"
2629,Madeline Phillips,Female,25,Math,89.66,2024-12-20,Williamshaven,Year 4,"Moore, Anthony and Harrison"
6345,Stephen Bell,Female,22,History,46.93,2024-11-05,Jenniferburgh,Year 3,Drake LLC
3093,David Jackson,Female,24,English,83.88,2025-02-07,West Derrickmouth,Year 1,Wade-Mendoza
2666,Ann Ibarra,Female,21,Science,94.78,2025-02-18,Sanchezland,Year 2,Garner LLC
8735,Mr. Ronald Martinez,Female,24,Computer,74.21,2025-02-15,Port Jeremy,Year 4,Hill Group
2736,Brian Richards,Male,21,Computer,79.55,2025-03-21,Lake Erinland,Year 3,Robinson-Johnson
3408,Erin Robinson,Female,22,Math,53.3,2025-07-17,Amandaview,Year 3,Vazquez Ltd
6535,Nancy Brennan,Male,18,Computer,91.44,2025-08-21,South Stephanieview,Year 4,Martinez PLC
8706,David Davis,Male,21,History,46.29,2025-05-23,Andersonfort,Year 1,Hill-Reid
7596,Jorge Campbell,Female,23,Science,99.94,2024-12-26,South Kevin,Year 2,"Hernandez, Carlson and Monroe"
7759,Brian Hall,Male,21,Science,96.75,2024-12-11,New Douglaschester,Year 4,Green LLC
3055,Spencer Ortiz,Male,18,Science,84.65,2025-08-06,Jilltown,Year 4,Franklin LLC
1862,Carol Sampson,Female,20,English,82.82,2024-11-05,Seanshire,Year 4,"Brown, Myers and Molina"
5747,Lisa Rodgers,Female,19,History,90.46,2025-07-05,Robertside,Year 2,Miller Inc
4639,Juan Wu,Male,24,Science,50.99,2024-12-29,Davidport,Year 1,"Woodard, Wallace and Martinez"
5967,Katherine Lindsey,Female,20,English,66.79,2025-07-21,Kimberlyborough,Year 1,Jefferson LLC
7616,David Zuniga,Female,20,English,70.55,2025-07-09,Scottview,Year 2,Turner-Patel
2576,Kaitlyn Thompson,Female,23,English,96.66,2025-08-07,North Chad,Year 4,Singleton-Gregory
8830,Jennifer Lee,Female,21,Computer,53.06,2025-10-21,Matthewsville,Year 3,Erickson and Sons
8958,Nicole Mosley,Female,20,Computer,80.58,2024-11-10,Jenniferburgh,Year 1,Clarke Inc
7164,Carrie Smith,Female,20,History,94.31,2024-12-14,Courtneychester,Year 4,Hunter Group
6427,Laura Davis,Female,21,Computer,95.95,2024-12-16,Andreafort,Year 3,Curtis-Smith
4339,Mr. Eric Carter DDS,Female,24,History,71.46,2025-08-17,Vegaburgh,Year 3,"Flores, Stevenson and Sullivan"
1394,Melissa Robertson,Female,20,English,49.53,2024-11-15,East Robertville,Year 2,Peterson-Hamilton
9157,Aaron Alvarez,Male,18,History,76.0,2024-11-21,West William,Year 4,Logan PLC
6280,Eileen Johnson,Female,23,Science,54.05,2025-05-18,Michelleland,Year 1,Odom-Rodriguez
3986,Alicia Morrison,Male,25,Science,74.38,2025-08-26,North Jamie,Year 4,Mann Inc
3293,Joseph Anderson,Female,20,English,45.92,2025-02-20,Thomasfurt,Year 1,Thompson-Martinez
7588,Cynthia Santiago,Female,19,Science,79.07,2025-06-09,Rogersbury,Year 3,Gould-Vasquez
8157,Kristine Alexander,Female,23,Computer,96.01,2024-12-08,South Courtney,Year 2,Cannon-Daugherty
2848,Ann Fox,Female,24,English,70.43,2025-01-16,Joshuaside,Year 2,"Nichols, Robinson and Garcia"
7445,Jeffrey Allen,Female,22,History,98.8,2025-05-18,Port Michael,Year 3,Love and Sons
6190,Wendy Mcdaniel,Male,19,Computer,66.45,2025-06-28,Davidmouth,Year 3,"Fletcher, Washington and Williams"
1555,Crystal Smith,Female,25,English,41.72,2025-02-02,North Tyroneport,Year 4,Smith-George
6493,Anthony Wilson,Male,23,Computer,75.12,2025-01-15,Nguyenburgh,Year 1,Marshall PLC
8779,William Lewis,Male,23,History,75.3,2025-01-31,Millermouth,Year 2,"Gardner, Miller and Webb"
5840,Heather Martinez,Female,24,Math,92.24,2025-08-23,Jacksonland,Year 1,"Lee, Smith and Griffin"
7397,Robert Lester,Male,21,English,71.54,2025-05-26,Melissaville,Year 2,Finley-Ramirez
7052,Kevin Jensen,Male,18,Computer,88.75,2025-01-21,Lake Linda,Year 4,"Donaldson, Ward and Cook"
4741,Philip Callahan,Female,22,Math,65.51,2025-04-09,Kristenport,Year 2,Jones-Hernandez
1624,Crystal Williams,Male,20,Science,79.21,2024-12-15,Coleside,Year 4,"Phelps, Munoz and Chavez"
3254,Craig Johns,Female,18,History,45.4,2025-09-07,Acostafurt,Year 2,"Mack, Jones and Erickson"
6204,Alyssa Moran,Male,20,English,52.32,2025-08-04,Collinsside,Year 4,"Bowen, Williams and Perez"
2512,Joseph Lam,Male,22,English,54.33,2025-09-18,Larsontown,Year 2,"Smith, Davis and Collier"
7494,Cynthia Spence,Male,18,Math,41.18,2025-07-13,South Deanna,Year 4,Perry LLC
9846,James Martin,Female,24,Computer,69.78,2025-05-08,Johnsonberg,Year 4,"Hunt, Wood and Walker"
9808,Donna Brown,Female,19,History,43.42,2025-03-22,Stephenland,Year 2,"Thompson, Blackburn and Wells"
2487,Margaret Smith,Male,18,History,73.21,2025-02-12,West Bernard,Year 1,"Cox, Walton and Hicks"
9802,Megan Mccullough,Male,22,Science,43.04,2025-07-07,Kennedyborough,Year 4,Smith and Sons
1145,Kimberly Wilson,Female,18,Math,91.48,2025-04-15,South Sarahburgh,Year 2,"Jackson, Lewis and Rogers"
6856,Joel Hughes,Male,22,English,47.55,2025-03-01,North Nicholaschester,Year 1,Martinez Inc
6600,Veronica Torres,Male,25,Science,42.79,2024-10-24,Lake Norma,Year 2,Davis LLC
7970,Kaylee Stanley,Female,22,Science,59.58,2025-04-04,New Nicoleborough,Year 2,Wade Inc
3765,Hannah Moore,Female,23,History,95.93,2024-12-15,North James,Year 3,Meyers Ltd
4038,Dylan Hill,Female,20,Math,95.94,2025-05-11,Port Austinbury,Year 1,"Reid, Ibarra and Ramirez"
2052,Linda Kelly,Male,22,History,50.56,2024-10-23,North Tonya,Year 4,Carpenter Group
6220,Renee Jones,Female,24,History,91.59,2025-05-25,North Jennifer,Year 2,"Bates, Chandler and Lucas"
4572,Sean Howard,Male,23,History,80.03,2025-01-04,North Timothy,Year 4,"Lynch, King and Ray"
2571,Andrew Rodriguez,Male,18,Computer,76.63,2024-12-21,Lake Deborahshire,Year 3,Williams Ltd
8308,Alexander Johnson,Female,21,English,92.99,2024-11-29,Jasonburgh,Year 1,Young Group
3713,Rhonda Pearson,Male,20,English,81.18,2025-10-05,Port Dylanfort,Year 1,Harvey Group
8341,Angelica Mueller,Female,18,English,79.61,2025-03-08,Port Robertmouth,Year 2,"Liu, Johnson and Frazier"
5677,Jason Davis,Female,20,English,86.99,2025-08-07,Phelpstown,Year 3,"White, Taylor and Roman"
4789,Yolanda Gonzalez,Female,21,Computer,70.14,2025-02-21,North Kathrynburgh,Year 4,"Fernandez, Thomas and Saunders"
8138,Sherry Hobbs,Female,23,English,52.92,2025-08-03,Port Thomas,Year 3,Adams-Brown
2559,Robert Mitchell,Male,19,History,91.96,2025-04-21,Williamsland,Year 4,Peterson and Sons
5822,Frank Morrison,Female,24,English,45.39,2024-11-03,Lake Jordan,Year 4,"Dudley, Martin and Ellison"
5257,Jeffrey Webster,Male,24,Computer,72.39,2025-04-02,Marymouth,Year 3,"Brown, Elliott and Moreno"
6193,Jessica Shaffer,Female,21,History,79.57,2025-09-18,Mullenstad,Year 1,Griffith-Ruiz
7109,Justin Cummings,Male,19,Math,40.23,2024-11-04,Baxtermouth,Year 4,Harrison LLC
2340,Mary Taylor,Male,24,Math,66.11,2025-04-02,Lake Andrew,Year 3,"Johnson, Delgado and Allen"
8811,Stanley Phillips DDS,Female,23,History,59.94,2025-02-28,West Mark,Year 3,Jordan Ltd
2006,Keith Berry,Male,25,History,84.6,2025-10-07,Zacharyton,Year 1,Li-Flores
2997,Donald Rodriguez,Female,24,Computer,89.23,2024-12-18,Barbaraberg,Year 4,Bradford PLC
9136,Anne Salinas,Male,24,Computer,65.45,2025-03-12,Port Lindaside,Year 2,"Brown, Glass and Reed"
3878,Tabitha Jones,Male,18,Math,83.52,2025-10-01,Port Sarahshire,Year 4,Bailey-Mclean
7407,Dr. Chris Gonzalez MD,Female,18,Computer,96.37,2025-02-16,Mcdanielfurt,Year 4,Hernandez-Jordan
9878,Kathy Morse,Male,18,Math,77.87,2025-01-09,North Ryanchester,Year 1,Silva Inc
6380,Lauren Gibbs,Male,18,English,92.36,2025-05-28,Jonesberg,Year 2,Carroll-Long
2756,William Sanders,Female,21,Math,80.2,2025-07-16,Lake Mikayla,Year 4,"Gilbert, Moore and Thompson"
7891,Ryan Jordan,Female,22,History,70.1,2025-09-29,Wheelerberg,Year 4,Johnson LLC
8694,Nicole Davenport,Female,21,English,98.01,2025-05-25,New David,Year 4,Chang-Barnett
1759,Sharon Patel,Female,24,History,48.71,2025-06-28,Ashleyton,Year 3,Moore LLC
1929,Mary Clark,Male,19,Science,91.36,2025-05-27,Huangville,Year 3,Cooper-Ward
2563,John Peterson,Male,21,Science,89.96,2025-07-12,West Patricia,Year 1,Jones-Richmond
8505,Kelly Paul,Female,19,Computer,69.11,2025-01-05,Brandontown,Year 1,Sullivan LLC
6626,Nicole Dixon,Male,20,Math,60.66,2025-07-14,Denisemouth,Year 1,Mcclure-Gonzalez
7168,Diamond Mercado,Male,18,Science,61.45,2024-11-18,New Linda,Year 1,"Brown, Brock and Mills"
2034,Robert Price,Male,22,Science,68.33,2025-09-13,North Neilview,Year 1,Kline-Andersen
5880,Sheryl White,Male,23,Math,83.41,2025-04-20,Jasonport,Year 3,"Ortega, Cameron and Simon"
9133,Christopher Young,Male,20,Computer,64.07,2025-03-25,North Katherineside,Year 3,Higgins-Baker
3758,James Collins,Female,25,Math,97.89,2025-08-15,Craigbury,Year 4,Rodriguez Ltd
6224,Rachel Parks,Female,23,Math,65.35,2025-02-02,East Troyberg,Year 4,Dyer Inc
2533,Tara Parsons,Female,22,Science,68.66,2025-02-27,Elizabethborough,Year 2,Thompson-Walker
6044,Darren Taylor,Female,25,English,63.78,2025-10-11,Longshire,Year 4,Pittman-King
3169,Ricardo Wright,Female,24,Math,52.21,2025-03-05,Brookebury,Year 4,"Fields, Flores and Contreras"
9940,Joe Romero,Female,24,English,62.77,2025-10-01,South Heather,Year 1,Reese and Sons
7871,Heather Jennings,Female,19,Computer,63.65,2025-02-23,Port Tracy,Year 2,Ware and Sons
7855,Paul Levine,Male,20,Math,53.63,2025-04-21,Brooksborough,Year 2,"Saunders, Watson and Dorsey"
4033,David Hall,Female,21,Computer,70.87,2025-07-27,East Michael,Year 3,Price Ltd
5835,Stacy Horne,Female,23,Math,89.55,2025-08-20,South William,Year 2,Prince PLC
5036,Brandi Kerr,Male,23,English,88.57,2025-03-10,Gregorymouth,Year 3,"Chavez, Brown and Hebert"
3699,Paul Fischer,Female,23,Computer,92.29,2025-08-05,Andreaburgh,Year 2,"Harrison, Anthony and Mendoza"
5632,Bryan Montgomery,Female,24,Math,95.89,2025-09-21,Davidbury,Year 3,Howard Group
6995,Mr. Steven Garcia,Male,23,English,94.32,2024-12-08,West Mark,Year 2,Jones-Crawford
3883,Nicole Mcintosh,Male,23,Computer,68.88,2025-07-11,Kathleenport,Year 4,"Barrera, Escobar and Sanchez"
6635,Brandon Daugherty,Male,20,Science,84.61,2024-11-09,Hernandezbury,Year 1,"Tucker, Reyes and Ruiz"
4191,Gregory Barnett,Male,23,Science,53.55,2025-06-15,Oliverton,Year 2,"Rivera, Nielsen and Wheeler"
7583,Carol Cook,Male,24,Computer,58.95,2025-03-02,Gordonfort,Year 1,Davenport Group
