student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
6767,Kenneth Lam,Male,21,Science,55.56,2025-09-15,Davidburgh,Year 3,Lucas-Costa
8302,Lori Ruiz,Female,18,History,45.07,2025-08-05,Thompsonside,Year 1,Jones-Bowman
9096,Caleb Erickson,Male,18,History,95.57,2025-06-18,Schmidtview,Year 3,Brown Inc
3124,Alicia Lewis,Female,19,Computer,76.27,2025-08-04,West Douglas,Year 4,Floyd Inc
5899,Lori Olsen,Male,18,Science,77.62,2024-12-01,North Kellyton,Year 4,Mcdaniel-Novak
1050,Melissa Atkinson,Male,21,Science,90.51,2025-03-28,Angelahaven,Year 2,"Holland, Russell and Dixon"
5809,Douglas Lewis,Female,19,History,90.57,2024-10-24,Port Jenniferfurt,Year 4,Smith Group
7908,Rebecca Taylor,Male,21,English,99.03,2025-08-06,Matthewbury,Year 4,Mcdonald-Maynard
8439,Marissa Berry,Female,24,Science,85.41,2025-05-15,Lewisshire,Year 4,"Johnson, Hendrix and Strickland"
8398,Traci Fuentes,Female,18,Computer,59.19,2025-07-27,Danielview,Year 2,Carter LLC
2901,Cody Casey,Female,21,Computer,68.39,2025-09-06,Tinaburgh,Year 2,Baldwin-Robinson
7209,Corey Clark,Female,23,Science,98.74,2025-02-13,Adamchester,Year 2,Thompson Group
4298,Rhonda Howard,Female,23,English,55.22,2025-04-15,Paulahaven,Year 2,Terrell PLC
9222,Richard Brown,Male,20,English,66.07,2025-06-19,Curtisview,Year 2,Contreras-Watson
5727,Robert Kirk,Male,23,History,66.41,2025-01-01,South Stephanietown,Year 2,"Miller, Black and Crawford"
5409,Amanda Brennan,Male,21,Math,86.05,2025-03-14,Debrabury,Year 3,"Garcia, Blackwell and Alexander"
9423,Isabel Robinson,Female,22,Math,71.54,2025-03-18,Neilside,Year 1,"Rodriguez, Aguilar and Hines"
5490,Beverly Torres,Female,24,Computer,94.96,2024-10-22,Molinachester,Year 4,Perez and Sons
4547,Shawn Ramos,Female,19,Science,98.69,2024-11-30,Grayborough,Year 1,Martin-Maldonado
8563,Sheri Davila,Male,19,Science,62.2,2025-07-16,Lake Kimberlyville,Year 1,Stewart and Sons
8547,Tammie Miranda,Male,22,Science,64.02,2025-06-23,South Kristi,Year 1,Reed-Tucker
6836,Nathan Thompson,Male,25,Math,65.3,2024-12-04,North Cherylfort,Year 4,Moss-Montgomery
2618,Colton Cain,Female,18,Computer,60.38,2024-12-23,Lake Robert,Year 3,Estrada and Sons
3481,Kelly Eaton,Male,24,Math,60.46,2024-11-30,New Richardport,Year 4,"Hooper, Ortiz and Woods"
6182,Andrew Butler,Female,19,Computer,70.22,2025-10-19,Anitaburgh,Year 4,"Bowers, Franklin and Perry"
1930,Charles Jensen,Female,24,Math,85.27,2025-07-23,Carolview,Year 4,"Carlson, Robertson and Petty"
7040,Todd Conway,Female,23,Math,61.19,2025-10-16,Joneschester,Year 1,Miranda-Miles
6443,Lindsey Smith,Male,25,History,86.82,2025-01-27,Cristianmouth,Year 1,Garcia LLC
7569,Dustin Rodriguez,Male,21,History,49.18,2025-01-08,New Jessica,Year 3,Montgomery-Hess
6235,Brittney Hull,Female,25,Math,41.41,2025-06-29,Port Allison,Year 2,Brown and Sons
7595,Lisa Carter,Male,25,Computer,79.17,2025-09-14,Brownburgh,Year 4,Watson LLC
4436,Thomas Murphy,Male,21,Computer,53.4,2025-07-24,South Teresa,Year 3,"Powell, Ross and Johnson"
9432,Jeremy Nichols,Female,21,English,94.52,2025-01-16,Ellenstad,Year 3,Montgomery Ltd
7748,Antonio Harris,Female,19,Science,77.77,2024-10-23,Jonesmouth,Year 1,"Kline, Smith and Lawrence"
3231,Molly Reynolds,Male,21,Math,73.65,2025-09-07,North Michaelbury,Year 1,Ayala-Aguilar
8764,John Wright,Female,18,English,54.18,2025-03-25,South Thomasport,Year 1,Mitchell LLC
8438,Matthew Hanson,Female,19,Math,67.51,2024-10-23,New Nathanside,Year 3,Garcia Ltd
9793,Chad Gilbert,Female,24,Computer,65.07,2025-04-15,Gallegosside,Year 2,"Gallegos, Martinez and Reid"
