student_id,name,gender,age,subject,exam_score,exam_date,region,grade_level,school
7441,Rhonda Barrett,Female,21,Math,48.23,2025-07-02,Port Johnnyton,Year 1,"Lawson, Warner and Murphy"
8999,Michael Rodriguez,Male,22,English,71.79,2025-09-09,North Karen,Year 2,"Smith, Kennedy and Smith"
3985,Timothy Barnett,Female,24,History,41.66,2025-05-10,Hurleyland,Year 2,"Stewart, Villanueva and Phelps"
8641,Michael Porter,Male,24,History,56.96,2025-08-12,West Karenton,Year 4,Valencia-Gallagher
1278,Emily Lara,Male,24,English,68.71,2024-10-21,East Courtney,Year 4,Holt Inc
1345,Nathaniel Brown,Male,21,English,40.6,2025-06-01,West Angelabury,Year 2,Nash-Jones
5827,Megan Wells,Male,21,Science,78.24,2025-01-16,South Emilyland,Year 1,Williams-Cameron
1410,Carrie Castillo,Male,25,Math,60.46,2024-12-12,Sarahberg,Year 4,"King, Lang and Palmer"
4298,Emma Perez,Male,18,Science,93.43,2025-08-06,Brianfort,Year 2,"Miller, Howell and James"
6098,Shelby Bell,Male,19,History,74.74,2025-09-15,South Sydneyshire,Year 2,"Johnson, Johnson and Miles"
3321,Matthew Clark,Female,22,Science,40.55,2025-03-04,Hernandezbury,Year 3,Berry Ltd
7232,Jeffrey Peterson,Female,22,Math,85.1,2025-08-10,New Virginiafurt,Year 2,"Howard, Jones and Cabrera"
9867,Leslie Salas,Female,23,Computer,85.86,2024-11-25,Port Andrewchester,Year 4,"Velez, Foster and Small"
2916,Sierra Williams,Male,18,History,93.36,2025-02-04,South Charlotte,Year 2,Byrd-Roberts
1376,Brenda Hawkins,Male,21,English,52.56,2025-09-19,Port Jamesberg,Year 2,Conner-Fox
5833,Lawrence King,Male,22,History,61.64,2024-11-06,New Charlestown,Year 3,Carter PLC
8445,Pamela Turner,Female,21,History,91.18,2025-04-23,East Laurabury,Year 1,Adams-Smith
6857,Brittney Hinton,Male,19,History,41.0,2025-05-30,South Jeffrey,Year 2,Owens-Macias
